value,timestamp
+0.02307869,2018-01-27 21:41
+0.0118207,2018-01-27 22:05
+0.02746262,2018-01-27 23:42
+0.01902857,2018-01-27 23:46
+0.02373031,2018-01-27 23:57
+0.022227,2018-01-28 00:01
+0.02750151,2018-01-28 00:05
+0.01221449,2018-01-28 00:08
+0.01271831,2018-01-28 00:16
+0.02113032,2018-01-28 00:54
+0.02249485,2018-01-28 00:56
+0.03087986,2018-01-28 00:58
+0.01616043,2018-01-28 01:10
+0.0871851,2018-01-28 01:16
+0.02648435,2018-01-28 01:19
+0.029145,2018-01-28 01:27
+0.01766722,2018-01-28 01:32
+0.02128822,2018-01-28 01:46
+0.01960138,2018-01-28 01:58
+0.02041203,2018-01-28 02:06
+0.0229202,2018-01-28 02:19
+0.01933915,2018-01-28 02:25
+0.02277538,2018-01-28 02:49
+0.01814887,2018-01-28 02:52
+0.02136353,2018-01-28 02:53
+0.02317261,2018-01-28 03:10
+0.01352288,2018-01-28 03:18
+0.02386918,2018-01-28 03:28
+0.01963478,2018-01-28 03:32
+0.02009856,2018-01-28 03:36
+0.01502507,2018-01-28 03:37
+0.01336706,2018-01-28 03:43
+0.01704593,2018-01-28 03:50
+0.01772597,2018-01-28 03:51
+0.02266261,2018-01-28 04:07
+0.02473062,2018-01-28 04:08
+0.0172615,2018-01-28 04:18
+0.020637,2018-01-28 04:21
+0.0159826,2018-01-28 04:28
+0.0228447,2018-01-28 04:39
+0.01604077,2018-01-28 05:01
+0.01730762,2018-01-28 05:21
+0.0170541,2018-01-28 05:25
+0.01168862,2018-01-28 05:33
+0.02651848,2018-01-28 05:38
+0.02180722,2018-01-28 05:41
+0.02380403,2018-01-28 05:48
+0.03686364,2018-01-28 06:04
+0.0168007,2018-01-28 06:05
+0.02234699,2018-01-28 06:17
+0.02097233,2018-01-28 06:26
+0.02413636,2018-01-28 06:33
+0.02569436,2018-01-28 06:35
+0.02248003,2018-01-28 06:37
+0.02652908,2018-01-28 06:39
+0.0202028,2018-01-28 06:52
+0.02125839,2018-01-28 06:59
+0.02311609,2018-01-28 07:03
+0.02278485,2018-01-28 07:39
+0.01954783,2018-01-28 07:44
+0.02998457,2018-01-28 07:48
+0.03997332,2018-01-28 07:58
+0.01736354,2018-01-28 08:17
+0.02004546,2018-01-28 08:28
+0.02521669,2018-01-28 08:32
+0.01191362,2018-01-28 08:36
+0.02198029,2018-01-28 08:55
+0.02234159,2018-01-28 09:09
+0.01514761,2018-01-28 09:15
+0.01786224,2018-01-28 09:22
+0.01604126,2018-01-28 09:31
+0.02088168,2018-01-28 09:42
+0.02125605,2018-01-28 10:05
+0.01540599,2018-01-28 10:06
+0.01782706,2018-01-28 10:39
+0.01853385,2018-01-28 10:52
+0.01727273,2018-01-28 11:11
+0.04200305,2018-01-28 11:26
+0.02572837,2018-01-28 11:27
+0.01579996,2018-01-28 11:32
+0.01781406,2018-01-28 11:45
+0.02571927,2018-01-28 11:52
+0.02515717,2018-01-28 11:53
+0.0133015,2018-01-28 11:59
+0.02418728,2018-01-28 12:11
+0.01846516,2018-01-28 12:31
+0.01222578,2018-01-28 12:34
+0.0236549,2018-01-28 12:59
+0.0327357,2018-01-28 13:01
+0.01593935,2018-01-28 13:07
+0.02180579,2018-01-28 13:10
+0.01517101,2018-01-28 13:16
+0.02022792,2018-01-28 13:37
+0.02221084,2018-01-28 13:43
+0.01989573,2018-01-28 13:46
+0.01698448,2018-01-28 14:19
+0.01794336,2018-01-28 14:24
+0.01989039,2018-01-28 14:25
+0.02007018,2018-01-28 14:27
+0.02080719,2018-01-28 15:04
+0.02648556,2018-01-28 15:06
+0.02265803,2018-01-28 15:13
+0.01622418,2018-01-28 15:15
+0.09308219,2018-01-28 15:17
+0.01602236,2018-01-28 15:20
+0.01705303,2018-01-28 15:31
+0.026033,2018-01-28 15:47
+0.01567779,2018-01-28 15:51
+0.01480915,2018-01-28 15:56
+0.05150409,2018-01-28 16:02
+0.01970445,2018-01-28 16:29
+0.01892588,2018-01-28 16:41
+0.01533641,2018-01-28 17:03
+0.01703285,2018-01-28 17:12
+0.02081649,2018-01-28 17:24
+0.02314696,2018-01-28 17:34
+0.02089907,2018-01-28 17:38
+0.01676527,2018-01-28 17:42
+0.01676142,2018-01-28 18:04
+0.02514516,2018-01-28 18:15
+0.01909008,2018-01-28 18:21
+0.01907495,2018-01-28 18:31
+0.03553047,2018-01-28 18:35
+0.02778923,2018-01-28 18:43
+0.02074306,2018-01-28 18:55
+0.01955589,2018-01-28 18:56
+0.03573096,2018-01-28 19:06
+0.02487285,2018-01-28 19:08
+0.01833323,2018-01-28 19:17
+0.02335708,2018-01-28 19:29
+0.01375553,2018-01-28 19:31
+0.01806528,2018-01-28 19:37
+0.02268521,2018-01-28 19:40
+0.01750253,2018-01-28 19:57
+0.05719138,2018-01-28 20:03
+0.01496959,2018-01-28 20:10
+0.01780351,2018-01-28 20:15
+0.02280329,2018-01-28 20:17
+0.02706647,2018-01-28 20:18
+0.02013308,2018-01-28 20:32
+0.0177812,2018-01-28 20:44
+0.01357768,2018-01-28 20:52
+0.01117611,2018-01-28 20:54
+0.0225639,2018-01-28 20:57
+0.01657912,2018-01-28 21:31
+0.01254457,2018-01-28 21:35
+0.0159132,2018-01-28 21:40
+0.01655333,2018-01-28 21:47
+0.0180331,2018-01-28 21:56
+0.01334116,2018-01-28 21:58
+0.01964426,2018-01-28 22:25
+0.04767504,2018-01-28 22:25
+0.01449798,2018-01-28 22:42
+0.01680286,2018-01-28 22:56
+0.01963453,2018-01-28 23:06
+0.01609846,2018-01-28 23:19
+0.01940465,2018-01-28 23:25
+0.01559066,2018-01-28 23:40
+0.01881584,2018-01-28 23:49
+0.01722857,2018-01-28 23:56
+0.01507297,2018-01-29 00:17
+0.01857734,2018-01-29 00:37
+0.01496851,2018-01-29 00:44
+0.01602488,2018-01-29 00:50
+0.01162496,2018-01-29 00:54
+0.01678984,2018-01-29 01:12
+0.04704903,2018-01-29 01:14
+0.01345898,2018-01-29 01:14
+0.01561014,2018-01-29 01:23
+0.03916294,2018-01-29 01:30
+0.01462802,2018-01-29 01:48
+0.01533128,2018-01-29 01:57
+0.03211685,2018-01-29 01:58
+0.0324179,2018-01-29 02:00
+0.02209951,2018-01-29 02:07
+0.01683326,2018-01-29 02:22
+0.01803875,2018-01-29 02:39
+0.01440542,2018-01-29 02:55
+0.01783782,2018-01-29 02:58
+0.01065692,2018-01-29 03:03
+0.01856827,2018-01-29 03:07
+0.01554488,2018-01-29 03:17
+0.01843112,2018-01-29 03:34
+0.01411164,2018-01-29 03:35
+0.01314938,2018-01-29 03:49
+0.01780053,2018-01-29 03:53
+0.01253011,2018-01-29 03:55
+0.01135273,2018-01-29 04:03
+0.01185494,2018-01-29 04:19
+0.01508641,2018-01-29 04:23
+0.01301938,2018-01-29 04:28
+0.01437147,2018-01-29 04:32
+0.0178604,2018-01-29 04:34
+0.0186205,2018-01-29 04:45
+0.01239395,2018-01-29 04:46
+0.01073712,2018-01-29 04:53
+0.02620368,2018-01-29 05:03
+0.01844292,2018-01-29 05:05
+0.01401646,2018-01-29 05:26
+0.01416771,2018-01-29 05:35
+0.01292117,2018-01-29 05:45
+0.01716129,2018-01-29 06:03
+0.01239018,2018-01-29 06:29
+0.01583609,2018-01-29 06:33
+0.0157512,2018-01-29 06:34
+0.01032035,2018-01-29 06:38
+0.0135297,2018-01-29 06:44
+0.02046605,2018-01-29 06:55
+0.01618434,2018-01-29 07:02
+0.01226315,2018-01-29 07:12
+0.01292418,2018-01-29 07:17
+0.01154247,2018-01-29 07:21
+0.01546725,2018-01-29 07:32
+0.01545615,2018-01-29 07:40
+0.01534767,2018-01-29 07:49
+0.01384022,2018-01-29 07:55
+0.01568771,2018-01-29 08:00
+0.01522832,2018-01-29 08:08
+0.01588605,2018-01-29 08:19
+0.01102525,2018-01-29 08:20
+0.01862016,2018-01-29 08:34
+0.06242845,2018-01-29 08:36
+0.01263801,2018-01-29 08:57
+0.01150772,2018-01-29 09:03
+0.01699333,2018-01-29 09:07
+0.01447755,2018-01-29 09:23
+0.01911844,2018-01-29 09:25
+0.01481234,2018-01-29 09:28
+0.01195828,2018-01-29 09:38
+0.01603412,2018-01-29 09:46
+0.02655859,2018-01-29 10:02
+0.0198764,2018-01-29 10:14
+0.01372796,2018-01-29 10:25
+0.01191652,2018-01-29 10:26
+0.02196323,2018-01-29 10:27
+0.01725488,2018-01-29 10:38
+0.01376942,2018-01-29 10:50
+0.01809601,2018-01-29 10:50
+0.01241498,2018-01-29 10:52
+0.02033624,2018-01-29 10:55
+0.01202209,2018-01-29 10:58
+0.01224074,2018-01-29 11:20
+0.02893375,2018-01-29 11:24
+0.01205688,2018-01-29 11:34
+0.01309244,2018-01-29 11:46
+0.01913059,2018-01-29 11:56
+0.01258979,2018-01-29 12:16
+0.01269479,2018-01-29 12:20
+0.08759819,2018-01-29 13:26
+0.08572061,2018-01-29 14:24
+0.1386553,2018-01-29 15:25
+0.19562423,2018-01-29 16:23
+0.07174667,2018-01-29 17:24
+0.10252269,2018-01-29 18:24
+0.13655575,2018-01-29 19:23
+0.11521471,2018-01-29 20:23
